Date_reported,Country,New_cases
2021-02-01,Brazil,58462
2021-02-02,Brazil,27756
2021-02-03,Brazil,24591
2021-02-04,Brazil,54096
2021-02-05,Brazil,56002
2021-02-06,Brazil,56873
2021-02-07,Brazil,50872
2021-02-08,Brazil,50630
2021-02-09,Brazil,26845
2021-02-10,Brazil,23439
2021-02-11,Brazil,51486
2021-02-12,Brazil,59602
2021-02-13,Brazil,54742
2021-02-14,Brazil,51546
2021-02-15,Brazil,44299
2020-01-03,Canada,0
2020-01-04,Canada,0
2020-01-05,Canada,0
2020-01-06,Canada,0
2020-01-07,Canada,0
2020-01-08,Canada,0
2020-01-09,Canada,0
2020-01-10,Canada,0
2020-01-11,Canada,0
2020-01-12,Canada,0
2020-01-13,Canada,0
2020-01-14,Canada,0
2020-01-15,Canada,0
2020-01-16,Canada,0
2020-01-17,Canada,0
2020-01-18,Canada,0
2020-01-19,Canada,0
2020-01-20,Canada,0
2020-01-21,Canada,0
2020-01-22,Canada,0
2020-01-23,Canada,0
2020-01-24,Canada,0
2020-01-25,Canada,0
2020-01-26,Canada,5
2020-01-27,Canada,1
2020-01-28,Canada,1
2020-01-29,Canada,0
2020-01-30,Canada,0
2020-01-31,Canada,1
2020-02-01,Canada,0
2020-02-02,Canada,0
2020-02-03,Canada,0
2020-02-04,Canada,0
2020-02-05,Canada,1
2020-02-06,Canada,0
2020-02-07,Canada,2
2020-02-08,Canada,0
2020-02-09,Canada,0
2020-02-10,Canada,0
2020-02-11,Canada,0
2020-02-12,Canada,0
2020-02-13,Canada,0
2020-02-14,Canada,0
2020-02-15,Canada,0
2020-02-16,Canada,0
2020-02-17,Canada,1
2020-02-18,Canada,0
2020-02-19,Canada,0
2020-02-20,Canada,0
2020-02-21,Canada,0
2020-02-22,Canada,1
2020-02-23,Canada,0
2020-02-24,Canada,1
2020-02-25,Canada,0
2020-02-26,Canada,1
2020-02-27,Canada,0
2020-02-28,Canada,3
2020-02-29,Canada,0
2020-03-01,Canada,5
2020-03-02,Canada,8
2020-03-03,Canada,3
2020-03-04,Canada,0
2020-03-05,Canada,15
2020-03-06,Canada,4
2020-03-07,Canada,8
2020-03-08,Canada,3
2020-03-09,Canada,12
2020-03-10,Canada,5
2020-03-11,Canada,16
2020-03-12,Canada,0
2020-03-13,Canada,59
2020-03-14,Canada,24
2020-03-15,Canada,128
2020-03-16,Canada,0
2020-03-17,Canada,120
2020-03-18,Canada,145
2020-03-19,Canada,163
2020-03-20,Canada,110
2020-03-21,Canada,202
2020-03-22,Canada,0
2020-03-23,Canada,336
2020-03-24,Canada,355
2020-03-25,Canada,0
2020-03-26,Canada,1816
2020-03-27,Canada,0
2020-03-28,Canada,463
2020-03-29,Canada,739
2020-03-30,Canada,898
2020-03-31,Canada,662
2020-04-01,Canada,1378
2020-04-02,Canada,1310
2020-04-03,Canada,1109
2020-04-04,Canada,1618
2020-04-05,Canada,1206
2020-04-06,Canada,966
2020-04-07,Canada,1902
2020-04-08,Canada,1243
2020-04-09,Canada,1384
2020-04-10,Canada,1326
2020-04-11,Canada,1467
2020-04-12,Canada,1318
2020-04-13,Canada,1158
2020-04-14,Canada,1084
2020-04-15,Canada,1360
2020-04-16,Canada,1394
2020-04-17,Canada,1344
2020-04-18,Canada,1775
2020-04-19,Canada,1741
2020-04-20,Canada,1509
2020-04-21,Canada,1474
2020-04-22,Canada,1991
2020-04-23,Canada,1549
2020-04-24,Canada,1890
2020-04-25,Canada,1926
2020-04-26,Canada,1614
2020-04-27,Canada,1425
2020-04-28,Canada,1538
2020-04-29,Canada,1698
2020-04-30,Canada,1349
2020-05-01,Canada,1693
2020-05-02,Canada,1601
2020-05-03,Canada,1915
2020-05-04,Canada,3793
2020-05-05,Canada,479
2020-05-06,Canada,1315
2020-05-07,Canada,1299
2020-05-08,Canada,1437
2020-05-09,Canada,1504
2020-05-10,Canada,1381
2020-05-11,Canada,1216
2020-05-12,Canada,1160
2020-05-13,Canada,1186
2020-05-14,Canada,1144
2020-05-15,Canada,1050
2020-05-16,Canada,1293
2020-05-17,Canada,1164
2020-05-18,Canada,1211
2020-05-19,Canada,1102
2020-05-20,Canada,1193
2020-05-21,Canada,1003
2020-05-22,Canada,1053
2020-05-23,Canada,1210
2020-05-24,Canada,1127
2020-05-25,Canada,1189
2020-05-26,Canada,1022
2020-05-27,Canada,895
2020-05-28,Canada,941
2020-05-29,Canada,963
2020-05-30,Canada,954
2020-05-31,Canada,885
2020-06-01,Canada,775
2020-06-02,Canada,835
2020-06-03,Canada,800
2020-06-04,Canada,597
2020-06-05,Canada,693
2020-06-06,Canada,629
2020-06-07,Canada,265
2020-06-08,Canada,722
2020-06-09,Canada,642
2020-06-10,Canada,545
2020-06-11,Canada,409
2020-06-12,Canada,472
2020-06-13,Canada,405
2020-06-14,Canada,413
2020-06-15,Canada,467
